"day","year","hour","date","tag","ind"
"18990105","1899","201727","18990105201727","小寒","0"
"18990120","1899","133741","18990120133741","大寒","1"
"18990204","1899","080656","18990204080656","立春","2"
"18990219","1899","040754","18990219040754","雨水","3"
"18990306","1899","023811","18990306023811","惊蛰","4"
"18990321","1899","034546","18990321034546","春分","5"
"18990405","1899","080849","18990405080849","清明","6"
"18990420","1899","153312","18990420153312","谷雨","7"
"18990506","1899","021028","18990506021028","立夏","8"
"18990521","1899","152235","18990521152235","小满","9"
"18990606","1899","065238","18990606065238","芒种","10"
"18990621","1899","234536","18990621234536","夏至","11"
"18990707","1899","172127","18990707172127","小暑","12"
"18990723","1899","104257","18990723104257","大暑","13"
"18990808","1899","025933","18990808025933","立秋","14"
"18990823","1899","172820","18990823172820","处暑","15"
"18990908","1899","052358","18990908052358","白露","16"
"18990923","1899","143009","18990923143009","秋分","17"
"18991008","1899","201942","18991008201942","寒露","18"
"18991023","1899","230633","18991023230633","霜降","19"
"18991107","1899","224649","18991107224649","立冬","20"
"18991122","1899","200044","18991122200044","小雪","21"
"18991207","1899","150433","18991207150433","大雪","22"
"18991222","1899","085612","18991222085612","冬至","23"
"19000106","1900","020357","19000106020357","小寒","0"
"19000120","1900","193225","19000120193225","大寒","1"
"19000204","1900","135131","19000204135131","立春","2"
"19000219","1900","100114","19000219100114","雨水","3"
"19000306","1900","082152","19000306082152","惊蛰","4"
"19000321","1900","093901","19000321093901","春分","5"
"19000405","1900","135241","19000405135241","清明","6"
"19000420","1900","212706","19000420212706","谷雨","7"
"19000506","1900","075512","19000506075512","立夏","8"
"19000521","1900","211655","19000521211655","小满","9"
"19000606","1900","123855","19000606123855","芒种","10"
"19000622","1900","053945","19000622053945","夏至","11"
"19000707","1900","231008","19000707231008","小暑","12"
"19000723","1900","163607","19000723163607","大暑","13"
"19000808","1900","085034","19000808085034","立秋","14"
"19000823","1900","231949","19000823231949","处暑","15"
"19000908","1900","111638","19000908111638","白露","16"
"19000923","1900","202011","19000923202011","秋分","17"
"19001009","1900","021309","19001009021309","寒露","18"
"19001024","1900","045516","19001024045516","霜降","19"
"19001108","1900","043944","19001108043944","立冬","20"
"19001123","1900","014750","19001123014750","小雪","21"
"19001207","1900","205550","19001207205550","大雪","22"
"19001222","1900","144134","19001222144134","冬至","23"
"19010106","1901","075323","19010106075323","小寒","0"
"19010121","1901","011628","19010121011628","大寒","1"
"19010204","1901","193952","19010204193952","立春","2"
"19010219","1901","154454","19010219154454","雨水","3"
"19010306","1901","141053","19010306141053","惊蛰","4"
"19010321","1901","152335","19010321152335","春分","5"
"19010405","1901","194421","19010405194421","清明","6"
"19010421","1901","031326","19010421031326","谷雨","7"
"19010506","1901","135024","19010506135024","立夏","8"
"19010522","1901","030439","19010522030439","小满","9"
"19010606","1901","183627","19010606183627","芒种","10"
"19010622","1901","112746","19010622112746","夏至","11"
"19010708","1901","050734","19010708050734","小暑","12"
"19010723","1901","222345","19010723222345","大暑","13"
"19010808","1901","144606","19010808144606","立秋","14"
"19010824","1901","050729","19010824050729","处暑","15"
"19010908","1901","171015","19010908171015","白露","16"
"19010924","1901","020856","19010924020856","秋分","17"
"19011009","1901","080628","19011009080628","寒露","18"
"19011024","1901","104614","19011024104614","霜降","19"
"19011108","1901","103429","19011108103429","立冬","20"
"19011123","1901","074113","19011123074113","小雪","21"
"19011208","1901","025237","19011208025237","大雪","22"
"19011222","1901","203635","19011222203635","冬至","23"
"19020106","1902","135133","19020106135133","小寒","0"
"19020121","1902","071156","19020121071156","大寒","1"
"19020205","1902","013810","19020205013810","立春","2"
"19020219","1902","213942","19020219213942","雨水","3"
"19020306","1902","200732","19020306200732","惊蛰","4"
"19020321","1902","211633","19020321211633","春分","5"
"19020406","1902","013726","19020406013726","清明","6"
"19020421","1902","090408","19020421090408","谷雨","7"
"19020506","1902","193848","19020506193848","立夏","8"
"19020522","1902","085331","19020522085331","小满","9"
"19020607","1902","001947","19020607001947","芒种","10"
"19020622","1902","171508","19020622171508","夏至","11"
"19020708","1902","104619","19020708104619","小暑","12"
"19020724","1902","040952","19020724040952","大暑","13"
"19020808","1902","202216","19020808202216","立秋","14"
"19020824","1902","105303","19020824105303","处暑","15"
"19020908","1902","224625","19020908224625","白露","16"
"19020924","1902","075520","19020924075520","秋分","17"
"19021009","1902","134510","19021009134510","寒露","18"
"19021024","1902","163538","19021024163538","霜降","19"
"19021108","1902","161746","19021108161746","立冬","20"
"19021123","1902","133523","19021123133523","小雪","21"
"19021208","1902","084101","19021208084101","大雪","22"
"19021223","1902","023531","19021223023531","冬至","23"
"19030106","1903","194343","19030106194343","小寒","0"
"19030121","1903","131332","19030121131332","大寒","1"
"19030205","1903","073117","19030205073117","立春","2"
"19030220","1903","034048","19030220034048","雨水","3"
"19030307","1903","015852","19030307015852","惊蛰","4"
"19030322","1903","031446","19030322031446","春分","5"
"19030406","1903","072553","19030406072553","清明","6"
"19030421","1903","145839","19030421145839","谷雨","7"
"19030507","1903","012522","19030507012522","立夏","8"
"19030522","1903","144501","19030522144501","小满","9"
"19030607","1903","060707","19030607060707","芒种","10"
"19030622","1903","230455","19030622230455","夏至","11"
"19030708","1903","163636","19030708163636","小暑","12"
"19030724","1903","095845","19030724095845","大暑","13"
"19030809","1903","021550","19030809021550","立秋","14"
"19030824","1903","164135","19030824164135","处暑","15"
"19030909","1903","044221","19030909044221","白露","16"
"19030924","1903","134341","19030924134341","秋分","17"
"19031009","1903","194144","19031009194144","寒露","18"
"19031024","1903","222303","19031024222303","霜降","19"
"19031108","1903","221323","19031108221323","立冬","20"
"19031123","1903","192124","19031123192124","小雪","21"
"19031208","1903","143519","19031208143519","大雪","22"
"19031223","1903","082025","19031223082025","冬至","23"
"19040107","1904","013702","19040107013702","小寒","0"
"19040121","1904","185751","19040121185751","大寒","1"
"19040205","1904","132407","19040205132407","立春","2"
"19040220","1904","092451","19040220092451","雨水","3"
"19040306","1904","075139","19040306075139","惊蛰","4"
"19040321","1904","085834","19040321085834","春分","5"
"19040405","1904","131851","19040405131851","清明","6"
"19040420","1904","204208","19040420204208","谷雨","7"
"19040506","1904","071834","19040506071834","立夏","8"
"19040521","1904","202855","19040521202855","小满","9"
"19040606","1904","120058","19040606120058","芒种","10"
"19040622","1904","045121","19040622045121","夏至","11"
"19040707","1904","223141","19040707223141","小暑","12"
"19040723","1904","154935","19040723154935","大暑","13"
"19040808","1904","081151","19040808081151","立秋","14"
"19040823","1904","223624","19040823223624","处暑","15"
"19040908","1904","103758","19040908103758","白露","16"
"19040923","1904","194012","19040923194012","秋分","17"
"19041009","1904","013534","19041009013534","寒露","18"
"19041024","1904","041902","19041024041902","霜降","19"
"19041108","1904","040458","19041108040458","立冬","20"
"19041123","1904","011553","19041123011553","小雪","21"
"19041207","1904","202520","19041207202520","大雪","22"
"19041222","1904","141356","19041222141356","冬至","23"
"19050106","1905","072706","19050106072706","小寒","0"
"19050121","1905","005156","19050121005156","大寒","1"
"19050204","1905","191549","19050204191549","立春","2"
"19050219","1905","152058","19050219152058","雨水","3"
"19050306","1905","134536","19050306134536","惊蛰","4"
"19050321","1905","145731","19050321145731","春分","5"
"19050405","1905","191428","19050405191428","清明","6"
"19050421","1905","024345","19050421024345","谷雨","7"
"19050506","1905","131404","19050506131404","立夏","8"
"19050522","1905","023116","19050522023116","小满","9"
"19050606","1905","175333","19050606175333","芒种","10"
"19050622","1905","105122","19050622105122","夏至","11"
"19050708","1905","041959","19050708041959","小暑","12"
"19050723","1905","214537","19050723214537","大暑","13"
"19050808","1905","135657","19050808135657","立秋","14"
"19050824","1905","042836","19050824042836","处暑","15"
"19050908","1905","162146","19050908162146","白露","16"
"19050924","1905","012956","19050924012956","秋分","17"
"19051009","1905","071936","19051009071936","寒露","18"
"19051024","1905","100755","19051024100755","霜降","19"
"19051108","1905","094946","19051108094946","立冬","20"
"19051123","1905","070453","19051123070453","小雪","21"
"19051208","1905","021047","19051208021047","大雪","22"
"19051222","1905","200341","19051222200341","冬至","23"
"19060106","1906","131327","19060106131327","小寒","0"
"19060121","1906","064314","19060121064314","大寒","1"
"19060205","1906","010354","19060205010354","立春","2"
"19060219","1906","211427","19060219211427","雨水","3"
"19060306","1906","193606","19060306193606","惊蛰","4"
"19060321","1906","205247","19060321205247","春分","5"
